target,image_path
1,D:\mlproject\milk10k\images\ISIC_0051817.jpg
0,D:\mlproject\milk10k\images\ISIC_0073863.jpg
0,D:\mlproject\milk10k\images\ISIC_0075884.jpg
1,D:\mlproject\milk10k\images\ISIC_0076255.jpg
1,D:\mlproject\milk10k\images\ISIC_0077054.jpg
1,D:\mlproject\milk10k\images\ISIC_0078190.jpg
0,D:\mlproject\milk10k\images\ISIC_0078197.jpg
1,D:\mlproject\milk10k\images\ISIC_0080019.jpg
0,D:\mlproject\milk10k\images\ISIC_0080219.jpg
1,D:\mlproject\milk10k\images\ISIC_0081055.jpg
1,D:\mlproject\milk10k\images\ISIC_0082447.jpg
1,D:\mlproject\milk10k\images\ISIC_0082638.jpg
0,D:\mlproject\milk10k\images\ISIC_0082674.jpg
1,D:\mlproject\milk10k\images\ISIC_0084581.jpg
1,D:\mlproject\milk10k\images\ISIC_0084885.jpg
1,D:\mlproject\milk10k\images\ISIC_0084958.jpg
0,D:\mlproject\milk10k\images\ISIC_0089407.jpg
1,D:\mlproject\milk10k\images\ISIC_0090512.jpg
1,D:\mlproject\milk10k\images\ISIC_0091092.jpg
0,D:\mlproject\milk10k\images\ISIC_0091477.jpg
1,D:\mlproject\milk10k\images\ISIC_0091575.jpg
1,D:\mlproject\milk10k\images\ISIC_0093135.jpg
1,D:\mlproject\milk10k\images\ISIC_0093389.jpg
1,D:\mlproject\milk10k\images\ISIC_0093873.jpg
1,D:\mlproject\milk10k\images\ISIC_0094604.jpg
0,D:\mlproject\milk10k\images\ISIC_0095743.jpg
1,D:\mlproject\milk10k\images\ISIC_0096543.jpg
0,D:\mlproject\milk10k\images\ISIC_0097262.jpg
1,D:\mlproject\milk10k\images\ISIC_0097302.jpg
1,D:\mlproject\milk10k\images\ISIC_0097629.jpg
1,D:\mlproject\milk10k\images\ISIC_0097906.jpg
1,D:\mlproject\milk10k\images\ISIC_0100523.jpg
1,D:\mlproject\milk10k\images\ISIC_0101062.jpg
0,D:\mlproject\milk10k\images\ISIC_0101767.jpg
1,D:\mlproject\milk10k\images\ISIC_0101955.jpg
1,D:\mlproject\milk10k\images\ISIC_0103091.jpg
1,D:\mlproject\milk10k\images\ISIC_0103392.jpg
1,D:\mlproject\milk10k\images\ISIC_0105249.jpg
0,D:\mlproject\milk10k\images\ISIC_0106322.jpg
0,D:\mlproject\milk10k\images\ISIC_0107067.jpg
0,D:\mlproject\milk10k\images\ISIC_0108357.jpg
1,D:\mlproject\milk10k\images\ISIC_0114709.jpg
0,D:\mlproject\milk10k\images\ISIC_0115114.jpg
1,D:\mlproject\milk10k\images\ISIC_0115985.jpg
1,D:\mlproject\milk10k\images\ISIC_0116442.jpg
1,D:\mlproject\milk10k\images\ISIC_0116622.jpg
1,D:\mlproject\milk10k\images\ISIC_0118496.jpg
1,D:\mlproject\milk10k\images\ISIC_0118795.jpg
0,D:\mlproject\milk10k\images\ISIC_0119243.jpg
0,D:\mlproject\milk10k\images\ISIC_0121050.jpg
1,D:\mlproject\milk10k\images\ISIC_0123535.jpg
1,D:\mlproject\milk10k\images\ISIC_0124081.jpg
1,D:\mlproject\milk10k\images\ISIC_0124764.jpg
1,D:\mlproject\milk10k\images\ISIC_0124902.jpg
0,D:\mlproject\milk10k\images\ISIC_0125513.jpg
1,D:\mlproject\milk10k\images\ISIC_0125985.jpg
1,D:\mlproject\milk10k\images\ISIC_0127217.jpg
0,D:\mlproject\milk10k\images\ISIC_0127934.jpg
1,D:\mlproject\milk10k\images\ISIC_0129379.jpg
1,D:\mlproject\milk10k\images\ISIC_0132555.jpg
1,D:\mlproject\milk10k\images\ISIC_0135161.jpg
0,D:\mlproject\milk10k\images\ISIC_0135826.jpg
0,D:\mlproject\milk10k\images\ISIC_0138768.jpg
1,D:\mlproject\milk10k\images\ISIC_0138914.jpg
0,D:\mlproject\milk10k\images\ISIC_0140176.jpg
1,D:\mlproject\milk10k\images\ISIC_0141332.jpg
0,D:\mlproject\milk10k\images\ISIC_0141634.jpg
1,D:\mlproject\milk10k\images\ISIC_0143535.jpg
1,D:\mlproject\milk10k\images\ISIC_0144213.jpg
1,D:\mlproject\milk10k\images\ISIC_0146067.jpg
1,D:\mlproject\milk10k\images\ISIC_0146278.jpg
1,D:\mlproject\milk10k\images\ISIC_0147255.jpg
1,D:\mlproject\milk10k\images\ISIC_0148805.jpg
1,D:\mlproject\milk10k\images\ISIC_0149062.jpg
1,D:\mlproject\milk10k\images\ISIC_0150748.jpg
1,D:\mlproject\milk10k\images\ISIC_0151603.jpg
1,D:\mlproject\milk10k\images\ISIC_0151981.jpg
1,D:\mlproject\milk10k\images\ISIC_0153376.jpg
0,D:\mlproject\milk10k\images\ISIC_0153470.jpg
0,D:\mlproject\milk10k\images\ISIC_0154688.jpg
1,D:\mlproject\milk10k\images\ISIC_0154826.jpg
1,D:\mlproject\milk10k\images\ISIC_0155053.jpg
0,D:\mlproject\milk10k\images\ISIC_0155115.jpg
1,D:\mlproject\milk10k\images\ISIC_0156507.jpg
0,D:\mlproject\milk10k\images\ISIC_0158073.jpg
0,D:\mlproject\milk10k\images\ISIC_0159106.jpg
1,D:\mlproject\milk10k\images\ISIC_0159683.jpg
0,D:\mlproject\milk10k\images\ISIC_0159874.jpg
1,D:\mlproject\milk10k\images\ISIC_0161474.jpg
1,D:\mlproject\milk10k\images\ISIC_0163776.jpg
0,D:\mlproject\milk10k\images\ISIC_0165103.jpg
0,D:\mlproject\milk10k\images\ISIC_0165198.jpg
1,D:\mlproject\milk10k\images\ISIC_0167746.jpg
0,D:\mlproject\milk10k\images\ISIC_0167803.jpg
0,D:\mlproject\milk10k\images\ISIC_0169510.jpg
0,D:\mlproject\milk10k\images\ISIC_0169534.jpg
1,D:\mlproject\milk10k\images\ISIC_0169805.jpg
0,D:\mlproject\milk10k\images\ISIC_0174755.jpg
0,D:\mlproject\milk10k\images\ISIC_0174869.jpg
1,D:\mlproject\milk10k\images\ISIC_0176893.jpg
0,D:\mlproject\milk10k\images\ISIC_0178503.jpg
0,D:\mlproject\milk10k\images\ISIC_0179367.jpg
1,D:\mlproject\milk10k\images\ISIC_0181316.jpg
1,D:\mlproject\milk10k\images\ISIC_0184224.jpg
1,D:\mlproject\milk10k\images\ISIC_0185358.jpg
1,D:\mlproject\milk10k\images\ISIC_0185719.jpg
1,D:\mlproject\milk10k\images\ISIC_0187127.jpg
0,D:\mlproject\milk10k\images\ISIC_0187220.jpg
1,D:\mlproject\milk10k\images\ISIC_0188950.jpg
0,D:\mlproject\milk10k\images\ISIC_0189659.jpg
1,D:\mlproject\milk10k\images\ISIC_0190959.jpg
1,D:\mlproject\milk10k\images\ISIC_0191714.jpg
1,D:\mlproject\milk10k\images\ISIC_0192391.jpg
1,D:\mlproject\milk10k\images\ISIC_0194116.jpg
1,D:\mlproject\milk10k\images\ISIC_0195347.jpg
1,D:\mlproject\milk10k\images\ISIC_0195374.jpg
1,D:\mlproject\milk10k\images\ISIC_0195795.jpg
1,D:\mlproject\milk10k\images\ISIC_0197274.jpg
1,D:\mlproject\milk10k\images\ISIC_0197527.jpg
1,D:\mlproject\milk10k\images\ISIC_0197900.jpg
1,D:\mlproject\milk10k\images\ISIC_0198032.jpg
1,D:\mlproject\milk10k\images\ISIC_0199124.jpg
1,D:\mlproject\milk10k\images\ISIC_0200116.jpg
0,D:\mlproject\milk10k\images\ISIC_0202283.jpg
1,D:\mlproject\milk10k\images\ISIC_0202768.jpg
